市区町村コード,市区町村,寄付額,控除額,寄付－控除額
06213,山形県 南陽市,782271,15611,766660
06301,山形県 東村山郡 山辺町,250000,5981,244019
06302,山形県 東村山郡 中山町,212185,5408,206777
06321,山形県 西村山郡 河北町,1258068,9343,1248725
06322,山形県 西村山郡 西川町,56368,1196,55172
06323,山形県 西村山郡 朝日町,124496,1993,122503
06324,山形県 西村山郡 大江町,282295,2412,279883
06341,山形県 北村山郡 大石田町,564729,1616,563113
06361,山形県 最上郡 金山町,71756,621,71135
06362,山形県 最上郡 最上町,147120,2484,144636
06363,山形県 最上郡 舟形町,490692,1138,489554
06364,山形県 最上郡 真室川町,115733,1885,113848
06365,山形県 最上郡 大蔵村,97987,785,97202
06366,山形県 最上郡 鮭川村,148064,631,147433
06367,山形県 最上郡 戸沢村,71128,339,70789
06381,山形県 東置賜郡 高畠町,135410,7980,127430
06382,山形県 東置賜郡 川西町,170567,4454,166113
06401,山形県 西置賜郡 小国町,147954,2453,145501
06402,山形県 西置賜郡 白鷹町,54628,2879,51749
06403,山形県 西置賜郡 飯豊町,140627,1740,138887
06426,山形県 東田川郡 三川町,571523,3305,568218
06428,山形県 東田川郡 庄内町,736200,8621,727579
06461,山形県 飽海郡 遊佐町,634363,2361,632002
07201,福島県 福島市,812242,317774,494468
07202,福島県 会津若松市,37247,91484,-54237
07203,福島県 郡山市,110284,358000,-247716
07204,福島県 いわき市,587845,260762,327083
07205,福島県 白河市,129042,53273,75769
07207,福島県 須賀川市,46578,47006,-428
07208,福島県 喜多方市,67176,16600,50576
07209,福島県 相馬市,18106,21777,-3671
07210,福島県 二本松市,59946,21856,38090
07211,福島県 田村市,158845,14023,144822
07212,福島県 南相馬市,106128,39050,67078
07213,福島県 伊達市,268483,23806,244677
07214,福島県 本宮市,11673,11062,611
07301,福島県 伊達郡 桑折町,95443,3643,91800
07303,福島県 伊達郡 国見町,164525,2485,162040
07308,福島県 伊達郡 川俣町,46798,3406,43392
07322,福島県 安達郡 大玉村,17072,2797,14275
07342,福島県 岩瀬郡 鏡石町,15656,4773,10883
07344,福島県 岩瀬郡 天栄村,24032,1173,22859
07362,福島県 南会津郡 下郷町,9095,1528,7567
07364,福島県 南会津郡 檜枝岐村,3618,19,3599
07367,福島県 南会津郡 只見町,13411,875,12536
07368,福島県 南会津郡 南会津町,32151,3765,28386
07402,福島県 耶麻郡 北塩原村,6333,734,5599
07405,福島県 耶麻郡 西会津町,161667,286,161381
07407,福島県 耶麻郡 磐梯町,632021,1101,630920
07408,福島県 耶麻郡 猪苗代町,92467,3926,88541
07421,福島県 河沼郡 会津坂下町,48428,5352,43076
07422,福島県 河沼郡 湯川村,150884,1619,149265
07423,福島県 河沼郡 柳津町,1590,286,1304
07444,福島県 大沼郡 三島町,4843,482,4361
07445,福島県 大沼郡 金山町,8487,94,8393
07446,福島県 大沼郡 昭和村,1570,58,1512
07447,福島県 大沼郡 会津美里町,55607,8497,47110
07461,福島県 西白河郡 西郷村,29650,13642,16008
07464,福島県 西白河郡 泉崎村,3281,1864,1417
07465,福島県 西白河郡 中島村,3131,1533,1598
07466,福島県 西白河郡 矢吹町,9772,8933,839
07481,福島県 東白川郡 棚倉町,159786,4919,154867
07482,福島県 東白川郡 矢祭町,8872,1878,6994
07483,福島県 東白川郡 塙町,7156,3727,3429
07484,福島県 東白川郡 鮫川村,3215,327,2888
07501,福島県 石川郡 石川町,7458,3440,4018
07502,福島県 石川郡 玉川村,21970,1790,20180
07503,福島県 石川郡 平田村,1810,338,1472
07504,福島県 石川郡 浅川町,1976,1903,73
07505,福島県 石川郡 古殿町,1757,1522,235
07521,福島県 田村郡 三春町,3940,5598,-1658
07522,福島県 田村郡 小野町,13138,3162,9976
07541,福島県 双葉郡 広野町,42309,2518,39791
07542,福島県 双葉郡 楢葉町,13861,5149,8712
07543,福島県 双葉郡 富岡町,32040,7483,24557
07544,福島県 双葉郡 川内村,7375,404,6971
07545,福島県 双葉郡 大熊町,1906,4464,-2558
07546,福島県 双葉郡 双葉町,4321,1550,2771
07547,福島県 双葉郡 浪江町,32974,5888,27086
07548,福島県 双葉郡 葛尾村,21087,346,20741
07561,福島県 相馬郡 新地町,8529,3018,5511
07564,福島県 相馬郡 飯舘村,18488,802,17686
08201,茨城県 水戸市,193768,454047,-260279
08202,茨城県 日立市,2925339,200383,2724956
08203,茨城県 土浦市,567788,189616,378172
