移動前,移動後,性別,人数
山形県,和歌山県,男,0
山形県,和歌山県,女,2
山形県,鳥取県,総数,2
山形県,鳥取県,男,0
山形県,鳥取県,女,2
島根県,山形県,総数,2
島根県,山形県,男,1
島根県,山形県,女,1
山形県,岡山県,総数,3
山形県,岡山県,男,7
岡山県,山形県,女,4
広島県,山形県,総数,74
広島県,山形県,男,22
広島県,山形県,女,52
山口県,山形県,総数,4
山口県,山形県,男,6
山形県,山口県,女,2
山形県,徳島県,総数,5
山形県,徳島県,男,0
山形県,徳島県,女,5
山形県,香川県,総数,8
山形県,香川県,男,3
山形県,香川県,女,5
山形県,愛媛県,総数,11
山形県,愛媛県,男,3
山形県,愛媛県,女,8
高知県,山形県,総数,3
山形県,高知県,男,0
高知県,山形県,女,3
山形県,福岡県,総数,15
山形県,福岡県,男,11
山形県,福岡県,女,4
山形県,佐賀県,総数,6
山形県,佐賀県,男,2
山形県,佐賀県,女,4
山形県,長崎県,総数,11
山形県,長崎県,男,8
山形県,長崎県,女,3
山形県,熊本県,総数,10
山形県,熊本県,男,11
熊本県,山形県,女,1
山形県,大分県,総数,17
山形県,大分県,男,7
山形県,大分県,女,10
宮崎県,山形県,総数,3
山形県,宮崎県,男,5
宮崎県,山形県,女,8
山形県,鹿児島県,総数,3
山形県,鹿児島県,男,7
鹿児島県,山形県,女,4
山形県,沖縄県,総数,4
山形県,沖縄県,男,0
山形県,沖縄県,女,4
福島県,茨城県,総数,250
福島県,茨城県,男,106
福島県,茨城県,女,144
福島県,栃木県,総数,326
福島県,栃木県,男,145
福島県,栃木県,女,181
福島県,群馬県,総数,85
福島県,群馬県,男,35
福島県,群馬県,女,50
福島県,埼玉県,総数,854
福島県,埼玉県,男,325
福島県,埼玉県,女,529
福島県,千葉県,総数,334
福島県,千葉県,男,93
福島県,千葉県,女,241
福島県,東京都,総数,1880
福島県,東京都,男,864
福島県,東京都,女,1016
福島県,神奈川県,総数,812
福島県,神奈川県,男,343
福島県,神奈川県,女,469
福島県,新潟県,総数,125
福島県,新潟県,男,96
福島県,新潟県,女,29
富山県,福島県,総数,2
